id,Time,Source,Destination,Sport,Dport,Protocal
1,Sun May 30 08:05:57 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50768,443,TCP
2,Sun May 30 08:05:58 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50768,443,TCP
3,Sun May 30 08:05:59 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,51109,27018,UDP
4,Sun May 30 08:06:01 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50768,443,TCP
5,Sun May 30 08:06:04 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
6,Sun May 30 08:06:05 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50766,443,TCP
7,Sun May 30 08:06:05 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50768,443,TCP
8,Sun May 30 08:06:06 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
9,Sun May 30 08:06:06 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,50773,TCP
10,Sun May 30 08:06:06 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
11,Sun May 30 08:06:06 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
12,Sun May 30 08:06:06 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
13,Sun May 30 08:06:07 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
14,Sun May 30 08:06:08 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
15,Sun May 30 08:06:09 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,51109,27018,UDP
16,Sun May 30 08:06:09 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,27018,51109,UDP
17,Sun May 30 08:06:10 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
18,Sun May 30 08:06:11 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
19,Sun May 30 08:06:11 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
20,Sun May 30 08:06:13 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
21,Sun May 30 08:06:15 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50768,443,TCP
22,Sun May 30 08:06:15 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
23,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,56825,53,UDP
24,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,56825,53,UDP
25,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,53,56825,UDP
26,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50774,80,TCP
27,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,80,50774,TCP
28,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50774,80,TCP
29,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50774,80,TCP
30,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,80,50774,TCP
31,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,80,50774,TCP
32,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50774,80,TCP
33,Sun May 30 08:06:16 2021,90:23:b4:8a:e0:61,70:66:55:27:01:7f,80,50774,TCP
34,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50774,80,TCP
35,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,80,50774,TCP
36,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
37,Sun May 30 08:06:16 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,50775,TCP
38,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
39,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
40,Sun May 30 08:06:16 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
41,Sun May 30 08:06:17 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
42,Sun May 30 08:06:17 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50767,80,TCP
43,Sun May 30 08:06:17 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,65273,443,TCP
44,Sun May 30 08:06:17 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,65273,TCP
45,Sun May 30 08:06:18 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,65273,443,TCP
46,Sun May 30 08:06:18 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,51109,27018,UDP
47,Sun May 30 08:06:18 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
48,Sun May 30 08:06:21 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50775,443,TCP
49,Sun May 30 08:06:25 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50773,443,TCP
